user_id,segment,home_neighborhood,pref_categories,price_preference,distance_tolerance_km,ambience_prefs,explore_rate
u_0001,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0002,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0003,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0004,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0005,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0006,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0007,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0008,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0009,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0010,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0011,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0012,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0013,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0014,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0015,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0016,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0017,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0018,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0019,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0020,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0021,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0022,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0023,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0024,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0025,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0026,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0027,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0028,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0029,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0030,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0031,italian_date_kp,Koregaon Park,"italian,pizza",2,4.0,date,0.25
u_0032,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
u_0033,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
u_0034,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
u_0035,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
u_0036,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
u_0037,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
u_0038,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
u_0039,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
u_0040,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
u_0041,budget_cafe_fc,FC Road,"cafe,dessert",1,3.0,study,0.3
